Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload
2225,Telstra,Melbourne,2017-05-10T14:10:08.574312Z,35.653968063701534,333.139,9793575.010960769,2627542.1379593248
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T14:20:03.047549Z,35.653968063701534,138.427,10389479.609273363,4759800.444111337
2225,Telstra,Melbourne,2017-05-10T14:25:03.197263Z,35.653968063701534,45.528,14563044.838350542,4602013.613795076
2225,Telstra,Melbourne,2017-05-10T14:30:08.317669Z,35.653968063701534,916.973,12979632.165093256,2752717.3912866064
2225,Telstra,Melbourne,2017-05-10T14:35:03.568900Z,35.653968063701534,2222.532,9939245.867138097,3774576.5939211184
2225,Telstra,Melbourne,2017-05-10T14:40:02.673603Z,35.653968063701534,1759.591,13041405.253554555,4212705.792392804
2225,Telstra,Melbourne,2017-05-10T14:45:03.680211Z,35.653968063701534,666.792,4614985.471215393,4465845.3207467925
2225,Telstra,Melbourne,2017-05-10T14:50:08.205005Z,35.653968063701534,1122.267,13890192.932086505,4641929.704366496
2225,Telstra,Melbourne,2017-05-10T14:55:03.282356Z,35.653968063701534,874.991,12139658.688092224,3979024.1339366254
2225,Telstra,Melbourne,2017-05-10T15:00:04.173792Z,35.653968063701534,104.679,15015242.42947941,4289412.899343213
2225,Telstra,Melbourne,2017-05-10T15:05:08.455531Z,35.653968063701534,2732.001,17947061.674215548,4249842.863294397
2225,Telstra,Melbourne,2017-05-10T15:10:13.319509Z,35.653968063701534,36.249,4732856.949231886,2907574.40910267
2225,Telstra,Melbourne,2017-05-10T15:15:03.039966Z,35.653968063701534,605198.013,18227464.660961106,4546178.410475262
2225,Telstra,Melbourne,2017-05-10T15:20:02.934468Z,35.653968063701534,1699.659,2174318.3785379915,0.0
2225,Telstra,Melbourne,2017-05-10T15:25:11.944566Z,35.653968063701534,2692.05,17206572.993248794,2606700.7756055472
2225,Telstra,Melbourne,2017-05-10T15:30:13.154220Z,35.653968063701534,903.964,16645665.974637503,4869503.554058289
2225,Telstra,Melbourne,2017-05-10T15:35:12.722152Z,35.653968063701534,1953.762,7549130.640182744,4850138.309087951
2225,Telstra,Melbourne,2017-05-10T15:40:14.030268Z,35.653968063701534,603695.053,17820569.536651984,4704222.004232407
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T15:50:11.671020Z,35.653968063701534,866.171,1143444.328659018,4730262.506639235
2225,Telstra,Melbourne,2017-05-10T15:55:14.557559Z,35.653968063701534,36.271,797147.884937753,4836754.228360426
2225,Telstra,Melbourne,2017-05-10T16:00:06.274090Z,35.653968063701534,1701.66,993489.9739858806,47997.902336004176
2225,Telstra,Melbourne,2017-05-10T16:05:14.826587Z,35.653968063701534,601025.11,12098740.272764962,4294525.856653552
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T16:15:03.064540Z,35.653968063701534,70.141,9071875.005001549,1845996.8346989094
2225,Telstra,Melbourne,2017-05-10T16:20:07.689598Z,35.653968063701534,5042.786,16507446.249677056,1249208.413858082
2225,Telstra,Melbourne,2017-05-10T16:25:12.723355Z,35.653968063701534,600023.876,0.0,2492385.1805707733
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T16:35:08.123669Z,35.653968063701534,1537.018,16884485.134497795,12956.569481906381
2225,Telstra,Melbourne,2017-05-10T16:40:02.742443Z,35.653968063701534,2588.072,1134727.964488739,4518757.432766976
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T16:50:07.745302Z,35.653968063701534,150.188,4083726.490114968,4697509.6175497165
2225,Telstra,Melbourne,2017-05-10T16:55:07.694326Z,35.653968063701534,600019.679,16815568.20583695,1358622.3340844444
2225,Telstra,Melbourne,2017-05-10T17:00:04.340139Z,35.653968063701534,601692.379,17010706.550199807,4135812.3229065994
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T17:10:08.303171Z,35.653968063701534,1203857.083,11394939.00429961,3573398.9625152885
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T17:20:10.240872Z,35.653968063701534,601367.426,14219446.871919159,2932849.870515853
2225,Telstra,Melbourne,2017-05-10T17:25:23.154569Z,35.653968063701534,1123.573,13015379.641425572,4824776.876838399
2225,Telstra,Melbourne,2017-05-10T17:30:02.934193Z,35.653968063701534,602532.465,17493116.278207943,2032422.7118234297
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T17:40:03.138321Z,35.653968063701534,605194.791,3535784.386863126,4812896.329657328
2225,Telstra,Melbourne,2017-05-10T17:45:03.710050Z,35.653968063701534,600973.525,14560892.622095937,3539180.186660319
2225,Telstra,Melbourne,2017-05-10T17:50:13.835799Z,35.653968063701534,2543.162,12000982.719044011,3686487.1167742657
Cannot retrieve speedtest configuration
2225,Telstra,Melbourne,2017-05-10T18:00:17.889513Z,35.653968063701534,41.254,4776481.529862922,1109666.5166084464
2225,Telstra,Melbourne,2017-05-10T18:05:07.854178Z,35.653968063701534,37.086,2855046.3042623997,4411462.850249309
2225,Telstra,Melbourne,2017-05-10T18:10:03.302706Z,35.653968063701534,1070.451,14467505.23981214,3171766.7389853387
2225,Telstra,Melbourne,2017-05-10T18:15:12.483374Z,35.653968063701534,92.087,17303855.112224735,4719288.151077652
2225,Telstra,Melbourne,2017-05-10T18:20:03.437068Z,35.653968063701534,1501.158,13560579.747979386,4791335.60842031
2225,Telstra,Melbourne,2017-05-10T18:25:13.301699Z,35.653968063701534,31.229,17326534.058397695,1222307.0939809794
